"action","address","fee"
"REQUEST_VOTE","0x90378494ea9c0169B0FEbfAA4Dd68651b47948DB","0.000177860000782584"
"VOTE","0x90378494ea9c0169B0FEbfAA4Dd68651b47948DB","0.00668285002940454"
"REQUEST_VOTE","0x540394880Be43c52E7d77cF041dc3559FF88B7C7","0.000177860000782584"
"VOTE","0x540394880Be43c52E7d77cF041dc3559FF88B7C7","0.00075772500333399"
"REQUEST_VOTE","0x2Af49b0FB4b1628F5b19bac52B2C8A500Ce5241d","0.000177860000782584"
"VOTE","0x2Af49b0FB4b1628F5b19bac52B2C8A500Ce5241d","0.00068497250273989"
"REQUEST_VOTE","0xb885D12dDa7b8d82C134bCd61b8732ad1Cb25B11","0.00017786000071144"
"VOTE","0xb885D12dDa7b8d82C134bCd61b8732ad1Cb25B11","0.0003206250012825"
"REQUEST_VOTE","0xFd38925463f2344a0e81ac5ed932549613D7fbB9","0.0004355250017421"
"VOTE","0xFd38925463f2344a0e81ac5ed932549613D7fbB9","0.00028165250112661"
"REQUEST_VOTE","0xC6655f82cDf1804C1704F101000Be88D70C17fb6","0.000329682501186857"
"VOTE","0xC6655f82cDf1804C1704F101000Be88D70C17fb6","0.001398615005035014"
"REQUEST_VOTE","0x20B1fa30ac5f14d812637f5a52C2ddfE1a77FF45","0.000177860000640296"
"VOTE","0x20B1fa30ac5f14d812637f5a52C2ddfE1a77FF45","0.000488045001561744"
"REQUEST_VOTE","0x341238cD7aDCFC4705251DD5CCffdaD712243C08","0.000177860000569152"
"VOTE","0x341238cD7aDCFC4705251DD5CCffdaD712243C08","0.000216582500693064"
"REQUEST_VOTE","0xDb08645700817434B07Bf89fB9027027623cF361","0.000274715000879088"
"VOTE","0xDb08645700817434B07Bf89fB9027027623cF361","0.000141875000454"
"REQUEST_VOTE","0xe623aECbEC9f50213d78904b4c9a81EDB5e0Ee81","0.000274715000879088"
"VOTE","0xe623aECbEC9f50213d78904b4c9a81EDB5e0Ee81","0.001258017504025656"
"REQUEST_VOTE","0xaAE6F86202C6b32ED38e9F4C2b064153De732Ba7","0.000274715000879088"
"VOTE","0xaAE6F86202C6b32ED38e9F4C2b064153De732Ba7","0.000142042500454536"
"REQUEST_VOTE","0x0Bd973dBd24e9611cE44452b46b9eD0fc6c287f4","0.000177860000569152"
"VOTE","0x0Bd973dBd24e9611cE44452b46b9eD0fc6c287f4","0.000293865000940368"
